idEmployee,fullName,address,birthDay,id,phoneNumber,email,gender,level,position,salary,department
001,Nguyen Van A,Hue,13/12/1996,132181,+84 1213348,abc@gmai.com,MALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
002,Le Thi B,hue,13/12/1997,3212323,+84 455445454,abc@gmai.com,FEMALE,INTERMEDIATE,RECEPTIONIST,1000.0,SALE_MARKETING,
003,Tran Van C,hue,13/12/1998,987987,+84 45454554,abc@gmai.com,MALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
004,Nguyen Thi D,hue,13/12/1999,5454545,+84 321321,abc@gmai.com,FEMALE,POSTGRADUATE,DIRECTOR,1000.0,SALE_MARKETING,
005,Phan Van E,hue,13/12/1990,459845,+84 89789897,abc@gmai.com,MALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
006,Ly Thi F,hue,13/12/1991,2313221,+84 4545545,abc@gmai.com,MALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
007,Mai Van G,hue,13/12/1992,54988498,+84 45235435,abc@gmai.com,FEMALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
008,Tran Thi H,hue,13/12/1993,2314554,+84 7567476,abc@gmai.com,FEMALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
009,Le Van L,hue,13/12/1994,5412113,+84 8765875,abc@gmai.com,MALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
010,Truong Van K,hue,13/12/1996,7897979,+84 234234324,abc@gmai.com,FEMALE,COLLEGE,RECEPTIONIST,1000.0,SALE_MARKETING,
